Tm,W,L,T,W-L%,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS
Buffalo Bills,3,1,0,.750,114,58,56,14.0,2.7,16.7,4.7,12.0
Miami Dolphins,3,1,0,.750,98,91,7,1.8,8.4,10.1,6.7,3.4
New York Jets,2,2,0,.500,76,101,-25,-6.3,3.0,-3.2,-3.8,0.6
New England Patriots,1,3,0,.250,74,98,-24,-6.0,5.2,-0.8,-2.9,2.1
Baltimore Ravens,2,2,0,.500,119,100,19,4.8,5.7,10.5,12.3,-1.9
Cincinnati Bengals,2,2,0,.500,91,70,21,5.3,1.9,7.1,2.7,4.4
Cleveland Browns,2,2,0,.500,105,95,10,2.5,-4.3,-1.8,3.5,-5.3
Pittsburgh Steelers,1,3,0,.250,74,90,-16,-4.0,0.3,-3.7,-3.0,-0.7
Jacksonville Jaguars,2,2,0,.500,105,67,38,9.5,1.3,10.8,9.4,1.4
Tennessee Titans,2,2,0,.500,75,101,-26,-6.5,-0.3,-6.8,-0.6,-6.2
Indianapolis Colts,1,2,1,.375,57,85,-28,-7.0,-0.5,-7.5,-13.8,6.2
Houston Texans,0,3,1,.125,73,93,-20,-5.0,-6.3,-11.3,-0.8,-10.5
Kansas City Chiefs,3,1,0,.750,129,96,33,8.3,-3.1,5.1,14.2,-9.0
Denver Broncos,2,2,0,.500,66,68,-2,-0.5,-6.4,-6.9,-10.5,3.6
Los Angeles Chargers,2,2,0,.500,92,108,-16,-4.0,-0.7,-4.7,-5.6,0.9
Las Vegas Raiders,1,3,0,.250,96,100,-4,-1.0,-6.3,-7.3,1.3,-8.6
