"","word","score","n"
"1","professor",0.4,22
"2","right",0.8,14
"3","like",0.5,10
"4","well",0.8,9
"5","better",0.8,6
"6","good",0.75,6
"7","cage",-0.6,5
"8","boy",0.25,4
"9","dark",-0.6,4
"10","fell",-0.5,4
"11","forward",0.6,4
"12","shot",-0.4,4
"13","stopped",-0.4,4
"14","work",0.25,4
"15","yes",0.8,4
"16","attention",0.25,3
"17","calm",0.75,3
"18","completely",0.4,3
"19","dangerous",-0.5,3
"20","excellent",1,3
"21","fault",-0.5,3
"22","flying",0.1,3
"23","giving",0.25,3
"24","hard",-0.25,3
"25","magic",0.25,3
"26","scar",-0.5,3
"27","smile",0.75,3
"28","staring",-0.25,3
"29","straight",0.6,3
"30","talk",0.4,3
"31","usual",0.4,3
"32","witch",-0.4,3
"33","young",0.4,3
"34","amazing",0.5,2
"35","ambition",0.6,2
"36","angrily",-0.5,2
"37","avoid",-0.5,2
"38","award",0.75,2
"39","beamed",0.8,2
"40","beaming",0.5,2
"41","birthday",0.8,2
"42","burning",-0.4,2
"43","careful",0.25,2
"44","charming",1,2
"45","clearly",0.5,2
"46","cry",-0.75,2
"47","cut",-0.25,2
"48","defense",0.25,2
"49","died",-0.5,2
"50","enough",-0.25,2
"51","famous",0.5,2
"52","favorite",0.75,2
"53","furiously",-1,2
"54","gift",0.5,2
"55","glad",0.75,2
"56","gold",0.5,2
"57","great",0.5,2
"58","growing",0.8,2
"59","guilt",-1,2
"60","ideal",1,2
"61","jealous",-0.75,2
"62","joined",0.6,2
"63","kill",-0.75,2
"64","laughed",0.8,2
"65","laughing",0.6,2
"66","laughter",0.8,2
"67","new",0.8,2
"68","odd",-0.25,2
"69","perfectly",0.5,2
"70","scream",-1,2
"71","seized",-0.6,2
"72","shrill",-0.75,2
"73","smiled",0.8,2
"74","smoke",-0.25,2
"75","spent",-0.25,2
"76","squashed",-0.6,2
"77","stunned",-0.25,2
"78","surprise",0.6,2
"79","wait",-0.25,2
"80","whipped",-0.8,2
"81","winking",0.6,2
"82","wizard",0.4,2
"83","worse",-0.75,2
"84","worst",-0.5,2
"85","accident",-0.5,1
"86","accidentally",-0.6,1
"87","achievement",0.5,1
"88","aching",-0.75,1
"89","alive",0.5,1
"90","angry",-0.75,1
"91","annoyingly",-1,1
"92","ashes",-0.4,1
"93","assembled",0.25,1
"94","attract",0.8,1
"95","aunt",0.25,1
"96","awfully",-1,1
"97","babble",-0.5,1
"98","baby",0.6,1
"99","banshee",-0.25,1
"100","bent",-0.4,1
"101","big",0.25,1
"102","bizarre",-0.75,1
"103","blame",-0.75,1
"104","blankly",-0.4,1
"105","bound",-0.25,1
"106","brave",0.5,1
"107","breakfast",0.6,1
"108","bright",0.5,1
"109","brightly",0.6,1
"110","brilliant",1,1
"111","broke",-0.75,1
"112","broken",-0.75,1
"113","bug",-0.5,1
"114","building",0.1,1
"115","buried",-0.6,1
"116","burying",-0.25,1
"117","care",1,1
"118","carefully",0.25,1
"119","chance",0.25,1
"120","charm",0.75,1
"121","chattering",-0.25,1
"122","cheerful",0.75,1
"123","cheerfully",1,1
"124","choked",-1,1
"125","cleared",0.5,1
"126","clever",0.75,1
"127","cloudy",-0.25,1
"128","cool",0.75,1
"129","cornered",-0.8,1
"130","cowering",-1,1
"131","crack",-0.5,1
"132","crazed",-1,1
"133","cries",-1,1
"134","cursed",-0.5,1
"135","damaged",-0.5,1
"136","dashing",0.75,1
"137","dawn",0.5,1
"138","deaf",-0.5,1
"139","demanded",-0.4,1
"140","deserved",0.25,1
"141","develop",0.1,1
"142","devilish",-0.5,1
"143","die",-0.75,1
"144","difficult",-0.5,1
"145","disappeared",-0.6,1
"146","disappointed",-1,1
"147","disapproving",-0.5,1
"148","disbelief",-0.5,1
"149","disgruntled",-0.5,1
"150","disgusted",-0.75,1
"151","dodging",-0.25,1
"152","dull",-0.75,1
"153","dust",-0.5,1
"154","eagerly",0.8,1
"155","eased",0.6,1
"156","easy",0.8,1
"157","eat",0.6,1
"158","effectively",0.5,1
"159","enchanted",1,1
"160","enthusiasm",0.75,1
"161","essential",0.6,1
"162","evil",-0.75,1
"163","exasperated",-1,1
"164","excitement",1,1
"165","exciting",0.75,1
"166","exotic",0.6,1
"167","expelled",-0.6,1
"168","explode",-0.5,1
"169","faint",-0.8,1
"170","fantastic",0.75,1
"171","fat",-0.5,1
"172","fatal",-0.5,1
"173","fear",-0.75,1
"174","fears",-1,1
"175","flailed",-0.8,1
"176","force",-0.6,1
"177","foul",-0.75,1
"178","found",0.6,1
"179","freezing",-0.75,1
"180","friend",0.8,1
"181","friendly",0.75,1
"182","fully",0.4,1
"183","gasp",-0.8,1
"184","golden",0.6,1
"185","grasping",-0.4,1
"186","greatest",0.5,1
"187","greeted",0.8,1
"188","grinned",0.4,1
"189","handy",0.5,1
"190","hanging",-0.25,1
"191","happily",0.5,1
"192","harm",-0.75,1
"193","harmony",0.5,1
"194","hastily",-0.4,1
"195","heartily",0.5,1
"196","hearty",0.25,1
"197","hissing",-0.5,1
"198","hitting",-0.6,1
"199","hope",0.5,1
"200","hopefully",0.6,1
"201","horrible",-0.75,1
"202","humiliation",-0.75,1
"203","hurried",-0.25,1
"204","ignored",-0.6,1
"205","immaculate",0.6,1
"206","improved",0.75,1
"207","interest",0.5,1
"208","interesting",0.75,1
"209","journey",0.4,1
"210","laden",-0.25,1
"211","late",-0.25,1
"212","laugh",0.5,1
"213","league",0.25,1
"214","leaked",-0.5,1
"215","liked",0.5,1
"216","loud",-0.25,1
"217","louder",-0.25,1
"218","lumpy",-0.5,1
"219","lying",-0.5,1
"220","mad",-0.75,1
"221","madly",0.75,1
"222","magical",0.75,1
"223","menacing",-0.5,1
"224","missed",-0.5,1
"225","mist",-0.25,1
"226","mistake",-0.75,1
"227","mottled",-0.4,1
"228","muddy",-0.25,1
"229","murmur",-0.25,1
"230","natural",0.6,1
"231","overcast",-0.6,1
"232","painfully",-0.5,1
"233","pale",-0.6,1
"234","pandemonium",-0.8,1
"235","perfect",0.75,1
"236","petrified",-0.5,1
"237","piercing",-0.25,1
"238","planning",0.25,1
"239","pleased",0.75,1
"240","powerful",0.75,1
"241","practice",0.4,1
"242","precisely",0.8,1
"243","problems",-0.5,1
"244","promptly",1,1
"245","prove",0.6,1
"246","provoke",-0.5,1
"247","publicity",0.4,1
"248","punished",-0.5,1
"249","quiz",-0.25,1
"250","rapt",0.5,1
"251","rattle",-0.25,1
"252","received",0.6,1
"253","relieved",1,1
"254","remarkable",0.75,1
"255","remove",-0.25,1
"256","restorative",1,1
"257","rockets",-0.25,1
"258","rotten",-0.5,1
"259","rubbish",-0.75,1
"260","safe",0.75,1
"261","scathing",-1,1
"262","scowl",-1,1
"263","scramble",-0.25,1
"264","scuttled",-0.6,1
"265","securely",0.8,1
"266","seize",-0.5,1
"267","sensible",0.8,1
"268","shame",-0.75,1
"269","shining",0.6,1
"270","shocked",-0.5,1
"271","shooting",-0.6,1
"272","shuddering",-1,1
"273","slap",-0.5,1
"274","smashed",-0.6,1
"275","smelled",-0.25,1
"276","smiling",0.75,1
"277","smirking",-0.4,1
"278","snatched",-0.8,1
"279","sneakily",-0.4,1
"280","sparking",0.6,1
"281","special",0.8,1
"282","spite",-0.5,1
"283","split",-0.5,1
"284","stealing",-0.75,1
"285","stiffness",-0.25,1
"286","struck",-0.5,1
"287","stupid",-1,1
"288","stupidly",-0.75,1
"289","surpassing",0.4,1
"290","survived",0.4,1
"291","sweaty",-0.5,1
"292","terror",-1,1
"293","thanks",0.6,1
"294","thrill",0.5,1
"295","throb",-0.75,1
"296","throbbing",-0.6,1
"297","timid",-0.75,1
"298","trembling",-0.5,1
"299","trouble",-0.5,1
"300","ugly",-0.75,1
"301","unable",-0.5,1
"302","unconscious",-0.5,1
"303","useful",0.5,1
"304","useless",-0.75,1
"305","vanishing",-0.6,1
"306","visit",0.4,1
"307","warmth",0.5,1
"308","warned",-0.5,1
"309","waste",-0.75,1
"310","weakly",-1,1
"311","white",0.4,1
"312","winner",0.75,1
"313","winning",0.75,1
"314","wise",0.5,1
"315","wishing",0.8,1
"316","worked",0.25,1
"317","worry",-0.75,1
"318","worth",0.75,1
"319","wreck",-0.75,1
"320","wrung",-0.25,1
"321","yanked",-0.4,1
