"","word","score","n"
"1","death",-0.75,30
"2","moody",-0.75,18
"3","like",0.5,16
"4","cage",-0.6,10
"5","right",0.8,9
"6","shot",-0.4,8
"7","avoid",-0.5,7
"8","fire",-0.25,7
"9","curses",-0.8,6
"10","darkness",-0.75,6
"11","great",0.5,6
"12","mad",-0.75,6
"13","magical",0.75,6
"14","black",-0.25,5
"15","break",-0.25,5
"16","charm",0.75,5
"17","fake",-0.75,5
"18","flying",0.1,5
"19","forward",0.6,5
"20","good",0.75,5
"21","lost",-0.75,5
"22","please",1,5
"23","stunning",0.75,5
"24","aunt",0.25,4
"25","chance",0.25,4
"26","exhaust",-0.5,4
"27","fell",-0.5,4
"28","hit",-0.25,4
"29","leave",-0.25,4
"30","ready",0.8,4
"31","sack",-0.25,4
"32","sorry",-0.5,4
"33","bright",0.5,3
"34","companion",0.5,3
"35","deafening",-1,3
"36","dear",0.5,3
"37","found",0.6,3
"38","problem",-0.75,3
"39","protection",0.8,3
"40","scar",-0.5,3
"41","scream",-1,3
"42","shooting",-0.6,3
"43","sink",-0.25,3
"44","stop",-0.4,3
"45","vanished",-0.6,3
"46","white",0.4,3
"47","backward",-0.5,2
"48","beaming",0.5,2
"49","blasted",-0.4,2
"50","broken",-0.75,2
"51","burned",-0.6,2
"52","completely",0.4,2
"53","cooperate",0.8,2
"54","crash",-0.75,2
"55","curse",-0.75,2
"56","discomfort",-0.5,2
"57","dreams",0.25,2
"58","empty",-0.25,2
"59","enough",-0.25,2
"60","expand",0.1,2
"61","fallen",-0.5,2
"62","falling",-0.75,2
"63","fear",-0.75,2
"64","feeling",0.25,2
"65","fond",0.5,2
"66","force",-0.6,2
"67","fury",-0.5,2
"68","general",0.4,2
"69","hitting",-0.6,2
"70","hot",-0.25,2
"71","kill",-0.75,2
"72","killing",-0.75,2
"73","lose",-0.25,2
"74","lucky",0.75,2
"75","magic",0.25,2
"76","oblivious",-0.6,2
"77","odd",-0.25,2
"78","quivering",-0.6,2
"79","reassured",0.5,2
"80","relief",0.5,2
"81","risk",-0.75,2
"82","safe",0.75,2
"83","save",0.5,2
"84","seize",-0.5,2
"85","seized",-0.6,2
"86","slowed",-0.25,2
"87","smile",0.75,2
"88","smoke",-0.25,2
"89","snarled",-1,2
"90","split",-0.5,2
"91","straight",0.6,2
"92","strange",-0.5,2
"93","truthfully",0.8,2
"94","well",0.8,2
"95","worry",-0.75,2
"96","wrong",-0.75,2
"97","abandon",-0.75,1
"98","absurdly",-0.8,1
"99","accord",0.8,1
"100","adorned",0.4,1
"101","advisable",1,1
"102","afraid",-0.75,1
"103","agree",0.5,1
"104","alone",-0.6,1
"105","ambush",-0.5,1
"106","amusing",0.5,1
"107","anxious",-0.75,1
"108","appearing",0.25,1
"109","avoided",-0.5,1
"110","awful",-0.75,1
"111","awry",-1,1
"112","backwards",-0.4,1
"113","badly",-0.75,1
"114","barrier",-0.5,1
"115","battle",-0.5,1
"116","beautiful",0.75,1
"117","better",0.8,1
"118","big",0.25,1
"119","bizarre",-0.75,1
"120","blackness",-0.25,1
"121","blaze",-0.25,1
"122","blocking",-0.5,1
"123","bloomed",0.8,1
"124","bound",-0.25,1
"125","boy",0.25,1
"126","brightly",0.6,1
"127","brilliant",1,1
"128","broke",-0.75,1
"129","brother",0.4,1
"130","bulging",-0.4,1
"131","burning",-0.4,1
"132","capture",-0.6,1
"133","careful",0.25,1
"134","chattering",-0.25,1
"135","child",0.6,1
"136","clapped",0.25,1
"137","clear",0.5,1
"138","clearly",0.5,1
"139","confidence",0.75,1
"140","confused",-0.5,1
"141","connections",0.6,1
"142","contact",0.4,1
"143","content",0.6,1
"144","convinced",0.6,1
"145","cornered",-0.8,1
"146","correct",0.6,1
"147","cozy",1,1
"148","crack",-0.5,1
"149","crashed",-0.6,1
"150","cried",-1,1
"151","crouching",-0.25,1
"152","cry",-0.75,1
"153","dark",-0.6,1
"154","dead",-1,1
"155","deadly",-0.75,1
"156","desperation",-0.5,1
"157","detect",0.1,1
"158","die",-0.75,1
"159","died",-0.5,1
"160","dirty",-0.75,1
"161","disappeared",-0.6,1
"162","disarm",-0.6,1
"163","disillusionment",-0.5,1
"164","distort",-0.5,1
"165","dizzying",-0.4,1
"166","dogged",-0.1,1
"167","drag",-0.5,1
"168","dragged",-0.5,1
"169","dreadful",-0.75,1
"170","droopy",-0.6,1
"171","earnest",0.75,1
"172","earnestly",0.5,1
"173","ease",0.75,1
"174","enjoy",0.75,1
"175","erupted",-0.6,1
"176","expect",0.4,1
"177","fall",-0.25,1
"178","fancy",0.5,1
"179","favorite",0.75,1
"180","fit",0.4,1
"181","flaws",-0.5,1
"182","flowery",0.6,1
"183","forced",-0.5,1
"184","forget",-0.5,1
"185","forgotten",-0.5,1
"186","free",0.5,1
"187","friend",0.8,1
"188","funny",0.8,1
"189","garden",0.6,1
"190","gasping",-0.8,1
"191","giving",0.25,1
"192","glared",-0.8,1
"193","glow",0.25,1
"194","gold",0.5,1
"195","golden",0.6,1
"196","grateful",1,1
"197","greeting",0.5,1
"198","gripping",-0.25,1
"199","groped",-0.4,1
"200","growing",0.8,1
"201","gruffly",-0.6,1
"202","grunted",-0.6,1
"203","guilty",-0.75,1
"204","hard",-0.25,1
"205","helped",0.8,1
"206","hood",-0.25,1
"207","horror",-1,1
"208","humiliated",-0.5,1
"209","hurried",-0.25,1
"210","hurtled",-0.4,1
"211","impatiently",-0.8,1
"212","important",0.75,1
"213","impunity",-0.4,1
"214","jerk",-0.5,1
"215","kind",0.5,1
"216","lacked",-0.5,1
"217","laden",-0.25,1
"218","lanky",-0.5,1
"219","laughing",0.6,1
"220","launched",0.25,1
"221","leading",0.25,1
"222","leaked",-0.5,1
"223","led",0.4,1
"224","level",0.4,1
"225","limping",-0.8,1
"226","luck",0.75,1
"227","lurch",-0.5,1
"228","lying",-0.5,1
"229","magnet",0.4,1
"230","maintaining",0.6,1
"231","matted",-0.4,1
"232","menace",-0.75,1
"233","missed",-0.5,1
"234","moaned",-0.25,1
"235","motionless",-0.4,1
"236","mud",-0.25,1
"237","muddy",-0.25,1
"238","nasty",-1,1
"239","numb",-0.75,1
"240","offense",-0.5,1
"241","ominously",-1,1
"242","pain",-0.75,1
"243","pang",-0.5,1
"244","paramount",0.25,1
"245","pathetic",-0.75,1
"246","planning",0.25,1
"247","pleased",0.75,1
"248","pointedly",-0.25,1
"249","pointless",-0.75,1
"250","prepared",0.5,1
"251","pretending",-0.25,1
"252","prevent",-0.25,1
"253","prime",0.1,1
"254","pristine",1,1
"255","proper",0.5,1
"256","protective",0.5,1
"257","protector",0.8,1
"258","quiet",0.25,1
"259","refusing",-0.5,1
"260","respect",0.5,1
"261","roomy",0.8,1
"262","rough",-0.25,1
"263","safely",0.5,1
"264","saved",0.8,1
"265","scarred",-1,1
"266","screamed",-0.6,1
"267","screams",-0.6,1
"268","secure",0.5,1
"269","shoot",-0.5,1
"270","slam",-0.75,1
"271","slamming",-0.4,1
"272","slender",0.6,1
"273","smashed",-0.6,1
"274","snake",-0.25,1
"275","sneak",-0.5,1
"276","sobbed",-1,1
"277","solid",0.25,1
"278","sore",-1,1
"279","spat",-0.5,1
"280","spineless",-1,1
"281","spotless",0.5,1
"282","staggered",-0.6,1
"283","staring",-0.25,1
"284","strangely",-0.5,1
"285","strangle",-0.5,1
"286","stuck",-0.25,1
"287","stupefy",-0.6,1
"288","sucked",-0.25,1
"289","sulking",-1,1
"290","sun",0.6,1
"291","suspended",-0.6,1
"292","swear",-0.1,1
"293","talk",0.4,1
"294","tasty",1,1
"295","terror",-1,1
"296","throttle",-0.5,1
"297","tidy",0.8,1
"298","trembling",-0.5,1
"299","twin",0.25,1
"300","uncomfortable",-0.75,1
"301","unconcerned",-0.5,1
"302","unconscious",-0.5,1
"303","understanding",1,1
"304","ungainly",-1,1
"305","unknown",-0.5,1
"306","unnaturally",-0.8,1
"307","vice",-0.5,1
"308","violently",-0.75,1
"309","wait",-0.25,1
"310","waver",-0.8,1
"311","whipped",-0.8,1
"312","wild",-0.25,1
"313","work",0.25,1
"314","worm",-0.25,1
"315","worn",-0.1,1
"316","wow",0.5,1
"317","wrinkled",-0.4,1
"318","yell",-0.25,1
"319","yelped",-0.6,1
"320","yes",0.8,1
"321","younger",0.25,1
