"","word","score","n"
"1","scar",-0.5,15
"2","like",0.5,7
"3","wizard",0.4,7
"4","curse",-0.75,6
"5","hurt",-0.75,6
"6","best",0.5,5
"7","magic",0.25,5
"8","aunt",0.25,4
"9","found",0.6,4
"10","hard",-0.25,4
"11","pain",-0.75,4
"12","right",0.8,4
"13","stupid",-1,4
"14","black",-0.25,3
"15","bright",0.5,3
"16","dear",0.5,3
"17","professor",0.4,3
"18","scars",-1,3
"19","well",0.8,3
"20","birthday",0.8,2
"21","boy",0.25,2
"22","cleared",0.5,2
"23","cold",-0.5,2
"24","cut",-0.25,2
"25","dark",-0.6,2
"26","darkness",-0.75,2
"27","dream",0.25,2
"28","flying",0.1,2
"29","hidden",-0.25,2
"30","hurting",-1,2
"31","impossible",-0.5,2
"32","innocent",0.8,2
"33","killed",-0.5,2
"34","knowing",0.6,2
"35","liked",0.5,2
"36","magical",0.75,2
"37","straight",0.6,2
"38","survived",0.4,2
"39","unusual",-0.6,2
"40","usual",0.4,2
"41","white",0.4,2
"42","worked",0.25,2
"43","yes",0.8,2
"44","absence",-0.5,1
"45","absurd",-0.75,1
"46","accidents",-0.6,1
"47","admit",0.6,1
"48","alive",0.5,1
"49","allow",0.25,1
"50","amused",0.5,1
"51","angry",-0.75,1
"52","anxious",-0.75,1
"53","approved",1,1
"54","apt",0.5,1
"55","assorted",0.25,1
"56","attracting",0.8,1
"57","bemused",-0.25,1
"58","bizarre",-0.75,1
"59","blame",-0.75,1
"60","blocking",-0.5,1
"61","bother",-0.75,1
"62","bothered",-0.5,1
"63","bothering",-0.75,1
"64","breakfast",0.6,1
"65","brightly",0.6,1
"66","burning",-0.4,1
"67","cage",-0.6,1
"68","center",0.25,1
"69","chance",0.25,1
"70","clearer",0.8,1
"71","committed",0.5,1
"72","community",0.6,1
"73","confide",-0.25,1
"74","confused",-0.5,1
"75","conveniently",0.8,1
"76","creature",-0.25,1
"77","crept",-0.6,1
"78","criminal",-0.75,1
"79","crooked",-0.5,1
"80","crumpled",-0.6,1
"81","curses",-0.8,1
"82","dangerous",-0.5,1
"83","darkened",-0.75,1
"84","dead",-1,1
"85","despised",-1,1
"86","diet",-0.25,1
"87","disconcerting",-1,1
"88","disposed",-0.6,1
"89","distract",-0.75,1
"90","doubted",-0.8,1
"91","dreams",0.25,1
"92","empty",-0.25,1
"93","enjoying",0.75,1
"94","enough",-0.25,1
"95","escape",-0.25,1
"96","expertise",0.5,1
"97","extinguished",-0.25,1
"98","extraordinary",0.75,1
"99","failed",-0.5,1
"100","faint",-0.8,1
"101","fall",-0.25,1
"102","fallen",-0.5,1
"103","famous",0.5,1
"104","favorite",0.75,1
"105","fear",-0.75,1
"106","feeling",0.25,1
"107","fell",-0.5,1
"108","finally",0.4,1
"109","flashy",0.6,1
"110","fled",-0.8,1
"111","flee",-0.75,1
"112","focus",0.6,1
"113","forgotten",-0.5,1
"114","friend",0.8,1
"115","frowning",-0.75,1
"116","fully",0.4,1
"117","fuss",-0.5,1
"118","gaining",0.75,1
"119","general",0.4,1
"120","glorious",0.5,1
"121","gold",0.5,1
"122","grow",0.8,1
"123","hated",-0.5,1
"124","haunting",-0.8,1
"125","hearth",0.6,1
"126","helped",0.8,1
"127","hopelessly",-0.6,1
"128","hoping",0.6,1
"129","horror",-1,1
"130","hot",-0.25,1
"131","hunting",-0.25,1
"132","hurried",-0.25,1
"133","injury",-0.75,1
"134","invite",0.25,1
"135","jail",-0.8,1
"136","jumpy",-0.75,1
"137","kill",-0.75,1
"138","killing",-0.75,1
"139","knack",0.6,1
"140","laughable",-0.5,1
"141","led",0.4,1
"142","loose",-0.25,1
"143","losing",-0.75,1
"144","lost",-0.75,1
"145","lurking",-1,1
"146","miserable",-1,1
"147","misuse",-0.5,1
"148","money",0.6,1
"149","murderer",-1,1
"150","murders",-1,1
"151","mutilation",-1,1
"152","nerve",-0.4,1
"153","painful",-0.5,1
"154","painfully",-0.5,1
"155","painless",1,1
"156","panicky",-1,1
"157","perfectly",0.5,1
"158","powerful",0.75,1
"159","problem",-0.75,1
"160","puzzled",-0.75,1
"161","qualified",0.5,1
"162","reading",0.1,1
"163","ready",0.8,1
"164","reason",0.6,1
"165","received",0.6,1
"166","reluctant",-0.5,1
"167","respectable",0.75,1
"168","rot",-0.5,1
"169","scrambled",-0.25,1
"170","secure",0.5,1
"171","shameful",-1,1
"172","shock",-0.75,1
"173","shrill",-0.75,1
"174","sincerely",0.5,1
"175","slowly",-0.25,1
"176","smuggling",-0.8,1
"177","snake",-0.25,1
"178","snatched",-0.8,1
"179","solution",0.5,1
"180","sorry",-0.5,1
"181","spasm",-1,1
"182","spectacular",0.8,1
"183","steady",0.6,1
"184","stinging",-0.5,1
"185","stranger",-0.5,1
"186","sun",0.6,1
"187","sunrise",0.6,1
"188","supporter",0.75,1
"189","surviving",0.5,1
"190","symptoms",-0.4,1
"191","terrified",-1,1
"192","terrifying",-1,1
"193","terror",-1,1
"194","thanks",0.6,1
"195","trouble",-0.5,1
"196","twin",0.25,1
"197","unavoidable",-0.5,1
"198","unlikely",-0.5,1
"199","untidy",-1,1
"200","useful",0.5,1
"201","visit",0.4,1
"202","vivid",0.5,1
"203","weird",-0.25,1
"204","welcome",0.5,1
"205","wish",0.8,1
"206","witchcraft",-0.25,1
"207","worried",-0.75,1
"208","worries",-0.5,1
"209","worse",-0.75,1
"210","wrong",-0.75,1
