"","word","score","n"
"1","well",0.8,21
"2","like",0.5,14
"3","right",0.8,10
"4","good",0.75,9
"5","poison",-0.75,7
"6","great",0.5,6
"7","yes",0.8,6
"8","angry",-0.75,5
"9","better",0.8,5
"10","professor",0.4,5
"11","talk",0.4,5
"12","chance",0.25,4
"13","demanded",-0.4,4
"14","enough",-0.25,4
"15","hurried",-0.25,4
"16","loud",-0.25,4
"17","saved",0.8,4
"18","angrily",-0.5,3
"19","attention",0.25,3
"20","best",0.5,3
"21","care",1,3
"22","fell",-0.5,3
"23","fight",-0.5,3
"24","happily",0.5,3
"25","hastily",-0.4,3
"26","hope",0.5,3
"27","interested",0.5,3
"28","keen",0.5,3
"29","lost",-0.75,3
"30","lucky",0.75,3
"31","mistress",-0.5,3
"32","nice",0.5,3
"33","poisoned",-0.75,3
"34","snitch",-1,3
"35","stopped",-0.4,3
"36","anxiously",-1,2
"37","argument",-0.8,2
"38","bad",-0.75,2
"39","badly",-0.75,2
"40","boy",0.25,2
"41","brilliant",1,2
"42","chosen",0.6,2
"43","cold",-0.5,2
"44","contact",0.4,2
"45","cried",-1,2
"46","darkness",-0.75,2
"47","death",-0.75,2
"48","discussion",0.4,2
"49","eased",0.6,2
"50","easy",0.8,2
"51","empty",-0.25,2
"52","expect",0.4,2
"53","fallen",-0.5,2
"54","familiar",0.8,2
"55","fat",-0.5,2
"56","feeling",0.25,2
"57","filthy",-0.5,2
"58","forbidden",-1,2
"59","found",0.6,2
"60","friend",0.8,2
"61","frowning",-0.75,2
"62","giving",0.25,2
"63","golden",0.6,2
"64","guilty",-0.75,2
"65","hurt",-0.75,2
"66","injury",-0.75,2
"67","interesting",0.75,2
"68","investigate",0.25,2
"69","kill",-0.75,2
"70","laugh",0.5,2
"71","leave",-0.25,2
"72","likes",0.5,2
"73","luck",0.75,2
"74","missed",-0.5,2
"75","muddy",-0.25,2
"76","nervously",-0.5,2
"77","new",0.8,2
"78","obsessed",-0.4,2
"79","painful",-0.5,2
"80","panic",-0.8,2
"81","practice",0.4,2
"82","precisely",0.8,2
"83","pretending",-0.25,2
"84","pretty",0.75,2
"85","problem",-0.75,2
"86","pure",1,2
"87","quiet",0.25,2
"88","ready",0.8,2
"89","sensation",0.6,2
"90","shot",-0.4,2
"91","sinking",-0.25,2
"92","spite",-0.5,2
"93","stop",-0.4,2
"94","sun",0.6,2
"95","surprise",0.6,2
"96","suspicions",-0.5,2
"97","tears",-0.8,2
"98","uncomfortable",-0.75,2
"99","uncomfortably",-0.5,2
"100","unfortunately",-1,2
"101","vanished",-0.6,2
"102","visit",0.4,2
"103","work",0.25,2
"104","worried",-0.75,2
"105","absent",-0.6,1
"106","abuse",-1,1
"107","accident",-0.5,1
"108","accidents",-0.6,1
"109","afraid",-0.75,1
"110","agitated",-0.5,1
"111","agony",-0.5,1
"112","agreed",0.5,1
"113","ahead",0.8,1
"114","alert",-0.25,1
"115","allow",0.25,1
"116","alone",-0.6,1
"117","annoyed",-0.5,1
"118","annoying",-0.75,1
"119","antidote",0.8,1
"120","appreciatively",1,1
"121","ashamed",-1,1
"122","attack",-0.75,1
"123","attacked",-1,1
"124","attacks",-0.5,1
"125","attraction",1,1
"126","bandage",-0.25,1
"127","big",0.25,1
"128","bitter",-0.5,1
"129","black",-0.25,1
"130","blessing",0.75,1
"131","blinding",-0.8,1
"132","block",-0.4,1
"133","bowed",-0.25,1
"134","bright",0.5,1
"135","cheer",0.75,1
"136","cheered",0.8,1
"137","cheers",1,1
"138","choice",0.4,1
"139","clear",0.5,1
"140","clever",0.75,1
"141","comfortable",0.5,1
"142","commotion",-0.5,1
"143","completely",0.4,1
"144","confide",-0.25,1
"145","confusion",-0.5,1
"146","continue",0.4,1
"147","convinced",0.6,1
"148","crack",-0.5,1
"149","cracked",-0.5,1
"150","criticism",-1,1
"151","criticize",-1,1
"152","curse",-0.75,1
"153","danger",-0.75,1
"154","dangerous",-0.5,1
"155","dashed",0.25,1
"156","dazzling",0.8,1
"157","deafening",-1,1
"158","depth",-0.25,1
"159","deserted",-0.6,1
"160","desperately",-0.5,1
"161","detention",-0.5,1
"162","detours",-0.25,1
"163","dinner",0.6,1
"164","dirty",-0.75,1
"165","disappear",-0.6,1
"166","disappears",-0.6,1
"167","discharge",-0.25,1
"168","discomfort",-0.5,1
"169","disregarding",-0.6,1
"170","distract",-0.75,1
"171","dogged",-0.1,1
"172","dreamy",1,1
"173","dying",-0.5,1
"174","easiest",0.8,1
"175","enrage",-0.5,1
"176","exasperation",-0.75,1
"177","excellent",1,1
"178","exceptionally",1,1
"179","excitement",1,1
"180","failed",-0.5,1
"181","falling",-0.75,1
"182","fatal",-0.5,1
"183","feign",-0.6,1
"184","ferocious",-0.8,1
"185","fiasco",-0.75,1
"186","fighting",-0.8,1
"187","fine",0.25,1
"188","fire",-0.25,1
"189","firing",-0.6,1
"190","fist",-0.4,1
"191","fit",0.4,1
"192","flailing",-0.8,1
"193","foolish",-0.75,1
"194","forbidding",-0.5,1
"195","forced",-0.5,1
"196","forgive",0.5,1
"197","forgotten",-0.5,1
"198","forward",0.6,1
"199","free",0.5,1
"200","frightened",-0.5,1
"201","frozen",-0.25,1
"202","frustration",-1,1
"203","fuming",-0.5,1
"204","furious",-1,1
"205","fury",-0.5,1
"206","ghost",-0.6,1
"207","gift",0.5,1
"208","giggle",0.5,1
"209","glad",0.75,1
"210","glee",0.75,1
"211","glum",-0.75,1
"212","gnarled",-0.8,1
"213","gold",0.5,1
"214","granted",0.5,1
"215","grimly",-1,1
"216","grudge",-0.75,1
"217","grumpily",-0.8,1
"218","happy",0.75,1
"219","hard",-0.25,1
"220","harm",-0.75,1
"221","hissing",-0.5,1
"222","hit",-0.25,1
"223","hitting",-0.6,1
"224","hoarse",-0.8,1
"225","honored",1,1
"226","humor",0.5,1
"227","hurting",-1,1
"228","hurtled",-0.4,1
"229","inaudible",-0.5,1
"230","indignantly",-1,1
"231","inept",-0.5,1
"232","inexplicable",-0.6,1
"233","infuriating",-0.75,1
"234","innocent",0.8,1
"235","insult",-1,1
"236","interrogated",-0.6,1
"237","kick",-0.25,1
"238","killed",-0.5,1
"239","lapse",-0.5,1
"240","late",-0.25,1
"241","laughter",0.8,1
"242","level",0.4,1
"243","lifeless",-0.75,1
"244","looming",-0.6,1
"245","loophole",-0.25,1
"246","lose",-0.25,1
"247","lying",-0.5,1
"248","mad",-0.75,1
"249","mercifully",0.6,1
"250","messed",-0.5,1
"251","missing",-0.5,1
"252","mistake",-0.75,1
"253","mistaking",-0.8,1
"254","mumble",-0.6,1
"255","mundane",-1,1
"256","murder",-0.75,1
"257","nasty",-1,1
"258","nervous",-0.75,1
"259","nosey",-0.25,1
"260","obnoxiously",-1,1
"261","obscene",-1,1
"262","obsessive",-0.5,1
"263","ominous",-0.5,1
"264","opportunity",0.5,1
"265","overworked",-1,1
"266","owing",-0.25,1
"267","pain",-0.75,1
"268","pale",-0.6,1
"269","patiently",1,1
"270","pay",-0.1,1
"271","peaceful",0.75,1
"272","perfectly",0.5,1
"273","permanent",-0.25,1
"274","planning",0.25,1
"275","pleased",0.75,1
"276","poor",-0.5,1
"277","pounding",-0.4,1
"278","prepared",0.5,1
"279","presence",0.4,1
"280","present",0.25,1
"281","pretended",-0.25,1
"282","prevent",-0.25,1
"283","prince",0.6,1
"284","provide",0.8,1
"285","punch",-0.5,1
"286","punished",-0.5,1
"287","reasonably",1,1
"288","recovery",0.25,1
"289","regrets",-0.5,1
"290","relieved",1,1
"291","remarkably",0.5,1
"292","resentment",-0.75,1
"293","risk",-0.75,1
"294","rude",-0.5,1
"295","rue",-0.5,1
"296","rumbling",-0.25,1
"297","ruse",-0.8,1
"298","satisfied",1,1
