"","word","score","n"
"1","professor",0.4,25
"2","like",0.5,20
"3","right",0.8,19
"4","well",0.8,18
"5","detention",-0.5,13
"6","good",0.75,12
"7","yes",0.8,12
"8","lies",-1,11
"9","cut",-0.25,10
"10","great",0.5,10
"11","better",0.8,7
"12","enough",-0.25,7
"13","pain",-0.75,7
"14","lesson",0.4,6
"15","stop",-0.4,6
"16","straight",0.6,6
"17","difficult",-0.5,5
"18","evil",-0.75,5
"19","fat",-0.5,5
"20","laugh",0.5,5
"21","smiling",0.75,5
"22","vanishing",-0.6,5
"23","worse",-0.75,5
"24","bad",-0.75,4
"25","black",-0.25,4
"26","care",1,4
"27","dark",-0.6,4
"28","dinner",0.6,4
"29","feeling",0.25,4
"30","fell",-0.5,4
"31","free",0.5,4
"32","hard",-0.25,4
"33","impression",0.1,4
"34","laughing",0.6,4
"35","laughter",0.8,4
"36","rubbish",-0.75,4
"37","scar",-0.5,4
"38","shining",0.6,4
"39","smile",0.75,4
"40","spent",-0.25,4
"41","stupid",-1,4
"42","truth",1,4
"43","work",0.25,4
"44","angry",-0.75,3
"45","bent",-0.4,3
"46","calm",0.75,3
"47","dream",0.25,3
"48","empty",-0.25,3
"49","exhausted",-0.75,3
"50","fire",-0.25,3
"51","giving",0.25,3
"52","grimly",-1,3
"53","level",0.4,3
"54","loud",-0.25,3
"55","lying",-0.5,3
"56","magic",0.25,3
"57","new",0.8,3
"58","pleased",0.75,3
"59","ready",0.8,3
"60","reason",0.6,3
"61","sick",-0.75,3
"62","slowly",-0.25,3
"63","smirking",-0.4,3
"64","surprise",0.6,3
"65","sweetly",0.5,3
"66","sweets",0.5,3
"67","twisted",-0.25,3
"68","wearily",-1,3
"69","alive",0.5,2
"70","angrily",-0.5,2
"71","anxious",-0.75,2
"72","attention",0.25,2
"73","backed",0.25,2
"74","beaming",0.5,2
"75","big",0.25,2
"76","breakfast",0.6,2
"77","brilliant",1,2
"78","clear",0.5,2
"79","confidence",0.75,2
"80","cool",0.75,2
"81","crack",-0.5,2
"82","crumple",-0.6,2
"83","dangerous",-0.5,2
"84","darkness",-0.75,2
"85","dreadful",-0.75,2
"86","dull",-0.75,2
"87","easy",0.8,2
"88","eat",0.6,2
"89","excellent",1,2
"90","exceptionally",1,2
"91","fainting",-0.5,2
