"","word","score","n"
"1","professor",0.4,48
"2","right",0.8,12
"3","crack",-0.5,11
"4","forward",0.6,10
"5","like",0.5,9
"6","black",-0.25,7
"7","good",0.75,6
"8","lesson",0.4,6
"9","please",1,6
"10","dark",-0.6,5
"11","great",0.5,5
"12","laughter",0.8,5
"13","ready",0.8,5
"14","well",0.8,5
"15","alone",-0.6,4
"16","banshee",-0.25,4
"17","confused",-0.5,4
"18","defense",0.25,4
"19","excellent",1,4
"20","fear",-0.75,4
"21","force",-0.6,4
"22","sir",0.25,4
"23","teacher",0.25,4
"24","clear",0.5,3
"25","cut",-0.25,3
"26","frighten",-0.75,3
"27","injury",-0.75,3
"28","leave",-0.25,3
"29","loony",-0.6,3
"30","shot",-0.4,3
"31","vulture",-0.25,3
"32","yes",0.8,3
"33","afraid",-0.75,2
"34","applause",0.5,2
"35","attention",0.25,2
"36","backed",0.25,2
"37","bad",-0.75,2
"38","best",0.5,2
"39","big",0.25,2
"40","boy",0.25,2
"41","broke",-0.75,2
"42","charm",0.75,2
"43","clearly",0.5,2
"44","cried",-1,2
"45","enough",-0.25,2
"46","excited",0.75,2
"47","excitedly",0.8,2
"48","feeling",0.25,2
"49","frightened",-0.5,2
"50","frightening",-0.5,2
"51","glittering",0.6,2
"52","grandmother",0.6,2
"53","hoping",0.6,2
"54","knife",-0.4,2
"55","late",-0.25,2
"56","laughed",0.8,2
"57","led",0.4,2
"58","magic",0.25,2
"59","practical",1,2
"60","practice",0.4,2
"61","respect",0.5,2
"62","revenge",-1,2
"63","shabby",-0.5,2
"64","sigh",-0.4,2
"65","slug",-0.75,2
"66","smile",0.75,2
"67","smiling",0.75,2
"68","solution",0.5,2
"69","split",-0.5,2
"70","stopped",-0.4,2
"71","terror",-1,2
"72","vanished",-0.6,2
"73","worry",-0.75,2
"74","wrong",-0.75,2
"75","accidentally",-0.6,1
"76","acid",-0.4,1
"77","admirably",1,1
"78","advantage",0.75,1
"79","advise",0.8,1
"80","alarm",-0.75,1
"81","amazement",0.8,1
"82","amusing",0.5,1
"83","anger",-0.75,1
"84","angrily",-0.5,1
"85","apprehensively",-1,1
"86","assist",0.8,1
"87","backward",-0.5,1
"88","bandage",-0.25,1
"89","battle",-0.5,1
"90","beautifully",1,1
"91","beckoning",0.6,1
"92","begging",-0.5,1
"93","benefits",1,1
"94","better",0.8,1
"95","bloody",-0.75,1
"96","blow",-0.4,1
"97","bound",-0.25,1
"98","brave",0.5,1
"99","bright",0.5,1
"100","broadly",0.4,1
"101","bullied",-0.5,1
"102","carefully",0.25,1
"103","caretaker",0.1,1
"104","cheerful",0.75,1
