"","word","score","n"
"1","sir",0.25,32
"2","like",0.5,12
"3","aunt",0.25,6
"4","cage",-0.6,5
"5","bad",-0.75,4
"6","creature",-0.25,4
"7","good",0.75,4
"8","great",0.5,4
"9","magic",0.25,4
"10","please",1,4
"11","wizard",0.4,4
"12","fell",-0.5,3
"13","hissed",-0.5,3
"14","punish",-0.75,3
"15","sorry",-0.5,3
"16","stop",-0.4,3
"17","tears",-0.8,3
"18","warning",-0.5,3
"19","well",0.8,3
"20","angry",-0.75,2
"21","beating",-0.5,2
"22","bowed",-0.25,2
"23","boy",0.25,2
"24","danger",-0.75,2
"25","dark",-0.6,2
"26","decent",0.5,2
"27","empty",-0.25,2
"28","expel",-0.75,2
"29","food",0.4,2
"30","frantically",-0.8,2
"31","free",0.5,2
"32","funny",0.8,2
"33","greatness",0.5,2
"34","horrible",-0.75,2
"35","joke",0.6,2
"36","laughing",0.6,2
"37","leave",-0.25,2
"38","lost",-0.75,2
"39","magical",0.75,2
"40","offend",-0.75,2
"41","painful",-0.5,2
"42","rattled",-0.25,2
"43","rude",-0.5,2
"44","safe",0.75,2
"45","seized",-0.6,2
"46","sinking",-0.25,2
"47","stopped",-0.4,2
"48","stopping",-0.4,2
"49","terrible",-0.75,2
"50","vanished",-0.6,2
"51","aching",-0.75,1
"52","adoration",1,1
"53","advanced",0.75,1
"54","afraid",-0.75,1
"55","aglow",0.8,1
"56","alive",0.5,1
"57","alone",-0.6,1
"58","angrily",-0.5,1
"59","anxiously",-1,1
"60","banshee",-0.25,1
"61","best",0.5,1
"62","birthday",0.8,1
"63","bold",0.25,1
"64","bound",-0.25,1
"65","brandishing",-0.6,1
"66","broken",-0.75,1
"67","brother",0.4,1
"68","bulging",-0.4,1
"69","catlike",0.25,1
"70","chance",0.25,1
"71","charm",0.75,1
"72","cheer",0.75,1
"73","choice",0.4,1
"74","choked",-1,1
"75","choking",-0.5,1
"76","clapped",0.25,1
"77","clean",0.75,1
"78","cold",-0.5,1
"79","comforting",0.5,1
"80","community",0.6,1
"81","completely",0.4,1
"82","crack",-0.5,1
"83","crash",-0.75,1
"84","cried",-1,1
"85","curiously",0.4,1
"86","cut",-0.25,1
"87","daresay",-0.25,1
"88","deal",0.25,1
"89","dear",0.5,1
"90","death",-0.75,1
"91","demonic",-0.75,1
"92","devil",-0.5,1
"93","dies",-0.8,1
"94","difficult",-0.5,1
"95","dinner",0.6,1
"96","disappear",-0.6,1
"97","disgust",-1,1
"98","disturbed",-0.75,1
"99","doubts",-0.5,1
"100","dragged",-0.5,1
"101","dying",-0.5,1
"102","earnestly",0.5,1
"103","enjoy",0.75,1
"104","enough",-0.25,1
"105","escape",-0.25,1
"106","exhausted",-0.75,1
"107","expect",0.4,1
"108","expulsion",-0.8,1
"109","extra",0.4,1
"110","false",-0.6,1
"111","falter",-0.75,1
"112","feeling",0.25,1
"113","fit",0.4,1
"114","fitted",0.4,1
"115","flinging",-0.6,1
"116","forgotten",-0.5,1
"117","friend",0.8,1
"118","frowning",-0.75,1
"119","furiously",-1,1
"120","garden",0.6,1
"121","gloss",0.6,1
"122","goodness",1,1
"123","gratitude",0.75,1
"124","greatest",0.5,1
"125","greetings",0.5,1
"126","grievously",-1,1
"127","grimly",-1,1
"128","growing",0.8,1
"129","hang",-0.25,1
"130","hard",-0.25,1
"131","hastily",-0.4,1
"132","honor",1,1
"133","horribly",-0.5,1
"134","horror",-1,1
"135","hot",-0.25,1
"136","humble",0.6,1
"137","hunger",-0.6,1
"138","ill",-0.5,1
"139","important",0.75,1
"140","improper",-0.8,1
"141","instantly",-0.25,1
"142","intelligence",0.5,1
"143","kill",-0.75,1
"144","laugh",0.5,1
"145","lead",0.25,1
"146","lose",-0.25,1
"147","loud",-0.25,1
"148","lunatics",-1,1
"149","mad",-0.75,1
"150","madly",0.75,1
"151","manage",0.4,1
"152","maniac",-0.5,1
"153","masterpiece",1,1
"154","miserably",-0.5,1
"155","moaned",-0.25,1
"156","modest",0.75,1
"157","mortal",-0.25,1
"158","neat",0.8,1
"159","nervously",-0.5,1
"160","noisy",-0.75,1
"161","offense",-0.5,1
"162","peril",-1,1
"163","pleased",0.75,1
"164","politely",1,1
"165","promised",0.5,1
"166","protect",0.75,1
"167","punch",-0.5,1
"168","punishments",-1,1
"169","quiet",0.25,1
"170","reading",0.1,1
"171","reason",0.6,1
"172","reasonable",0.5,1
"173","received",0.6,1
"174","restriction",-0.75,1
"175","reverently",1,1
"176","right",0.8,1
"177","rigid",-0.75,1
"178","rips",-0.6,1
"179","risks",-0.25,1
"180","rival",-0.25,1
"181","rubbish",-0.75,1
"182","ruined",-0.75,1
"183","rumbling",-0.25,1
"184","sadly",-1,1
"185","saved",0.8,1
"186","screamed",-0.6,1
"187","screams",-0.6,1
"188","screech",-0.5,1
"189","shattered",-0.5,1
"190","shining",0.6,1
"191","shock",-0.75,1
"192","shocked",-0.5,1
"193","sincerely",0.5,1
"194","slowly",-0.25,1
"195","soggy",-0.25,1
"196","sorcery",-0.25,1
"197","sore",-1,1
"198","sprang",-0.25,1
"199","starve",-0.5,1
"200","starving",-0.5,1
"201","strength",0.5,1
"202","struck",-0.5,1
"203","sun",0.6,1
"204","support",0.5,1
"205","surprise",0.6,1
"206","thank",0.5,1
"207","thudding",-0.4,1
"208","touched",0.25,1
"209","tragic",-0.75,1
"210","trembling",-0.5,1
"211","triumph",0.75,1
"212","ugly",-0.75,1
"213","uneasy",-1,1
"214","unpleasant",-0.75,1
"215","untidy",-1,1
"216","upsets",-0.5,1
"217","urgent",-0.75,1
"218","valiant",0.5,1
"219","wait",-0.25,1
"220","warn",-0.75,1
"221","watery",-0.25,1
"222","weak",-0.5,1
"223","whip",-0.25,1
"224","wish",0.8,1
"225","witchcraft",-0.25,1
"226","worryingly",-1,1
"227","yes",0.8,1
