"","word","score","n"
"1","right",0.8,13
"2","well",0.8,12
"3","food",0.4,9
"4","good",0.75,9
"5","professor",0.4,9
"6","like",0.5,8
"7","dark",-0.6,7
"8","goblin",-0.8,7
"9","hidden",-0.25,7
"10","please",1,7
"11","better",0.8,6
"12","black",-0.25,5
"13","death",-0.75,5
"14","found",0.6,5
"15","leave",-0.25,5
"16","break",-0.25,4
"17","cried",-1,4
"18","empty",-0.25,4
"19","forbidden",-1,4
"20","hard",-0.25,4
"21","new",0.8,4
"22","problem",-0.75,4
"23","wizard",0.4,4
"24","yes",0.8,4
"25","beaded",-0.25,3
"26","best",0.5,3
"27","bother",-0.75,3
"28","bunk",-0.25,3
"29","charm",0.75,3
"30","cold",-0.5,3
"31","excitement",1,3
"32","fire",-0.25,3
"33","free",0.5,3
"34","important",0.75,3
"35","joined",0.6,3
"36","orphanage",-1,3
"37","pain",-0.75,3
"38","prophet",0.6,3
"39","vanished",-0.6,3
"40","achievement",0.5,2
"41","agreed",0.5,2
"42","argument",-0.8,2
"43","blindfolded",-0.6,2
"44","boy",0.25,2
"45","care",1,2
"46","cheerful",0.75,2
"47","cleaning",0.6,2
"48","clearly",0.5,2
"49","dead",-1,2
"50","deal",0.25,2
"51","delicious",0.5,2
"52","destroy",-0.5,2
"53","disappointed",-1,2
"54","disappointment",-1,2
"55","easier",0.8,2
"56","exile",-0.5,2
"57","fake",-0.75,2
"58","fear",-0.75,2
"59","feeling",0.25,2
"60","fight",-0.5,2
"61","fine",0.25,2
"62","forget",-0.5,2
"63","golden",0.6,2
"64","great",0.5,2
"65","hastily",-0.4,2
"66","idiot",-1,2
"67","impatiently",-0.8,2
"68","impossible",-0.5,2
"69","impression",0.1,2
"70","injured",-0.75,2
"71","joke",0.6,2
"72","killed",-0.5,2
"73","lack",-0.75,2
"74","laugh",0.5,2
"75","laughed",0.8,2
"76","laughter",0.8,2
"77","lonely",-0.75,2
"78","lunatic",-0.75,2
"79","lying",-0.5,2
"80","mad",-0.75,2
"81","magic",0.25,2
"82","oaf",-1,2
"83","oddity",-0.5,2
"84","possessed",-0.6,2
"85","pounding",-0.4,2
"86","pretend",-0.75,2
"87","punishment",-0.5,2
"88","quiet",0.25,2
"89","refused",-0.75,2
"90","remove",-0.25,2
"91","scar",-0.5,2
"92","scoffed",-1,2
"93","snake",-0.25,2
"94","sorry",-0.5,2
"95","special",0.8,2
"96","spent",-0.25,2
"97","steal",-0.75,2
"98","stole",-0.8,2
"99","stop",-0.4,2
"100","stopped",-0.4,2
"101","strengthens",1,2
"102","stuck",-0.25,2
"103","suffered",-1,2
"104","talk",0.4,2
"105","thief",-1,2
"106","unable",-0.5,2
"107","visit",0.4,2
"108","wait",-0.25,2
"109","war",-0.5,2
"110","weary",-0.75,2
"111","work",0.25,2
"112","worse",-0.75,2
"113","abruptly",-0.25,1
"114","accidentally",-0.6,1
"115","accordingly",0.25,1
"116","afraid",-0.75,1
"117","alive",0.5,1
"118","anger",-0.75,1
"119","anguished",-1,1
"120","appreciatively",1,1
"121","art",0.6,1
"122","ashamed",-1,1
"123","assure",0.8,1
"124","assuredly",0.8,1
"125","audible",0.1,1
"126","backward",-0.5,1
"127","bad",-0.75,1
"128","barrier",-0.5,1
"129","beating",-0.5,1
"130","befitting",0.4,1
"131","beg",-0.75,1
"132","bewildered",-0.5,1
"133","bickering",-0.5,1
"134","big",0.25,1
"135","blame",-0.75,1
"136","bled",-1,1
"137","bless",1,1
"138","block",-0.4,1
"139","bore",-0.75,1
"140","bothered",-0.5,1
"141","brilliant",1,1
"142","broken",-0.75,1
"143","building",0.1,1
"144","bulging",-0.4,1
"145","buried",-0.6,1
"146","burn",-0.4,1
"147","calm",0.75,1
"148","center",0.25,1
"149","chance",0.25,1
"150","chattering",-0.25,1
"151","cheered",0.8,1
"152","chill",-0.1,1
"153","choked",-1,1
"154","choking",-0.5,1
"155","chosen",0.6,1
"156","chuckle",0.5,1
"157","clambering",-0.25,1
"158","clasp",-0.25,1
"159","clear",0.5,1
"160","cleared",0.5,1
"161","clever",0.75,1
"162","collapsed",-0.8,1
"163","comfortably",1,1
"164","compensate",0.6,1
"165","completely",0.4,1
"166","completing",0.8,1
"167","consternation",-0.75,1
"168","contact",0.4,1
"169","continuing",0.4,1
"170","contradiction",-0.5,1
"171","convenient",0.8,1
"172","corrosive",-0.5,1
"173","courtesy",0.5,1
"174","crestfallen",-1,1
"175","crouching",-0.25,1
"176","cruelly",-0.5,1
"177","crumple",-0.6,1
"178","curse",-0.75,1
"179","damn",-0.75,1
"180","darkness",-0.75,1
"181","dazed",-0.75,1
"182","defeated",-1,1
"183","defense",0.25,1
"184","defensive",-0.5,1
"185","demanded",-0.4,1
"186","deserve",0.25,1
"187","deserved",0.25,1
"188","desire",0.6,1
"189","despair",-0.75,1
"190","desperate",-0.75,1
"191","desperation",-0.5,1
"192","determined",0.5,1
"193","devoured",-0.4,1
"194","died",-0.5,1
"195","difficult",-0.5,1
"196","digging",-0.25,1
"197","dignity",0.5,1
"198","dirt",-0.75,1
"199","discomfort",-0.5,1
"200","disgusting",-1,1
"201","disillusionment",-0.5,1
"202","dismal",-0.75,1
"203","dour",-0.5,1
"204","doused",-0.4,1
"205","dragged",-0.5,1
"206","dread",-0.75,1
"207","dreaded",-0.5,1
"208","dreary",-0.75,1
"209","eat",0.6,1
"210","eccentricities",0.4,1
"211","educated",0.75,1
"212","encounter",-0.25,1
"213","endurance",0.6,1
"214","enough",-0.25,1
"215","escape",-0.25,1
"216","excellent",1,1
"217","excuses",-0.5,1
"218","expect",0.4,1
"219","explosion",-0.6,1
"220","extinguished",-0.25,1
"221","facts",0.4,1
"222","faint",-0.8,1
"223","fallen",-0.5,1
"224","falling",-0.75,1
"225","false",-0.6,1
"226","familiar",0.8,1
"227","fancy",0.5,1
"228","favor",0.6,1
"229","fell",-0.5,1
"230","fellow",0.4,1
"231","fighting",-0.8,1
"232","fit",0.4,1
"233","forced",-0.5,1
"234","forgotten",-0.5,1
"235","foul",-0.75,1
"236","freeze",-0.4,1
"237","freezing",-0.75,1
"238","froze",-0.25,1
"239","fruitless",-0.75,1
"240","fun",0.75,1
"241","genuine",0.5,1
"242","glad",0.75,1
"243","gladly",0.5,1
"244","glared",-0.8,1
"245","gleeful",0.5,1
"246","glide",0.6,1
"247","glinting",0.25,1
"248","gloom",-0.75,1
"249","gnarled",-0.8,1
"250","grandeur",0.75,1
"251","groping",-0.4,1
"252","grow",0.8,1
"253","grunted",-0.6,1
"254","gush",-0.1,1
"255","halfheartedly",-1,1
"256","hangs",-0.25,1
"257","happy",0.75,1
"258","hatred",-0.5,1
