"","word","score","n"
"1","aunt",0.25,15
"2","like",0.5,6
"3","pig",-0.5,5
"4","right",0.8,5
"5","boy",0.25,4
"6","diet",-0.25,4
"7","enough",-0.25,4
"8","birthday",0.8,3
"9","food",0.4,3
"10","great",0.5,3
"11","loose",-0.25,3
"12","nurse",-0.25,3
"13","stop",-0.4,3
"14","stupid",-1,3
"15","well",0.8,3
"16","best",0.5,2
"17","better",0.8,2
"18","big",0.25,2
"19","breakfast",0.6,2
"20","cage",-0.6,2
"21","calm",0.75,2
"22","coldly",-0.75,2
"23","fear",-0.75,2
"24","finally",0.4,2
"25","friend",0.8,2
"26","furious",-1,2
"27","hard",-0.25,2
"28","hastily",-0.4,2
"29","hidden",-0.25,2
"30","hope",0.5,2
"31","hoping",0.6,2
"32","journey",0.4,2
"33","laughing",0.6,2
"34","magical",0.75,2
"35","mistreated",-1,2
"36","rich",0.5,2
"37","staring",-0.25,2
"38","temper",-0.5,2
"39","unpleasant",-0.75,2
"40","usual",0.4,2
"41","wait",-0.25,2
"42","accusations",-0.75,1
"43","allow",0.25,1
"44","anger",-0.75,1
"45","annoyance",-1,1
"46","annoyed",-0.5,1
"47","annoying",-0.75,1
"48","arrest",-0.5,1
"49","assorted",0.25,1
"50","astonished",0.5,1
"51","bad",-0.75,1
"52","badly",-0.75,1
"53","battle",-0.5,1
"54","bent",-0.4,1
"55","bewildered",-0.5,1
"56","black",-0.25,1
"57","bored",-0.5,1
"58","break",-0.25,1
"59","bright",0.5,1
"60","brightly",0.6,1
"61","bristled",-0.6,1
"62","bullying",-0.75,1
"63","chocolate",0.6,1
"64","chosen",0.6,1
"65","clearly",0.5,1
"66","complaint",-0.75,1
"67","completely",0.4,1
"68","conflict",-1,1
"69","confusion",-0.5,1
"70","connections",0.6,1
"71","contact",0.4,1
"72","cooperation",0.1,1
"73","curiously",0.4,1
"74","daring",0.75,1
"75","dark",-0.6,1
"76","darling",0.5,1
"77","deal",0.25,1
"78","dear",0.5,1
"79","dearly",0.5,1
"80","determined",0.5,1
"81","difficulty",-0.5,1
"82","dignified",0.5,1
"83","disappear",-0.6,1
"84","disapproval",-0.5,1
"85","disgusting",-1,1
"86","distaste",-0.5,1
"87","eat",0.6,1
"88","enjoy",0.75,1
"89","excellent",1,1
"90","excitedly",0.8,1
"91","excitement",1,1
"92","excuses",-0.5,1
"93","extra",0.4,1
"94","fat",-0.5,1
"95","favorite",0.75,1
"96","feeble",-0.75,1
"97","feeling",0.25,1
"98","fell",-0.5,1
"99","fight",-0.5,1
"100","fighting",-0.8,1
"101","fit",0.4,1
"102","forced",-0.5,1
"103","forward",0.6,1
"104","free",0.5,1
"105","fresh",0.5,1
"106","frowned",-0.8,1
"107","fundamental",0.1,1
"108","funny",0.8,1
"109","furiously",-1,1
"110","fuss",-0.5,1
"111","gifted",0.5,1
"112","glad",0.75,1
"113","glare",-0.25,1
"114","glared",-0.8,1
"115","glaring",-0.8,1
"116","grin",0.5,1
"117","growing",0.8,1
"118","grumpily",-0.8,1
"119","hang",-0.25,1
"120","happiness",0.75,1
"121","happy",0.75,1
"122","hated",-0.5,1
"123","heaved",-0.4,1
"124","hissed",-0.5,1
"125","hit",-0.25,1
"126","hog",-0.5,1
"127","household",0.6,1
"128","hurled",-0.6,1
"129","hurt",-0.75,1
"130","ignored",-0.6,1
"131","increased",0.5,1
"132","interested",0.5,1
"133","introduced",0.6,1
"134","killer",-1,1
"135","lack",-0.75,1
"136","laugh",0.5,1
"137","livid",-0.75,1
"138","loved",0.5,1
"139","lurking",-1,1
"140","madly",0.75,1
"141","magic",0.25,1
"142","magnificently",0.8,1
"143","mistake",-0.75,1
"144","neatly",0.5,1
"145","nerves",-0.4,1
"146","nervous",-0.75,1
"147","new",0.8,1
"148","nourishment",0.25,1
"149","opportunity",0.5,1
"150","ouch",-1,1
"151","outraged",-0.75,1
"152","panicky",-1,1
"153","perfectly",0.5,1
"154","permission",0.8,1
"155","pleas",-0.4,1
"156","plum",0.4,1
"157","pointedly",-0.25,1
"158","politely",1,1
"159","poor",-0.5,1
"160","pretend",-0.75,1
"161","pride",0.25,1
"162","prime",0.1,1
"163","puppy",0.6,1
"164","puzzled",-0.75,1
"165","rage",-1,1
"166","reading",0.1,1
"167","received",0.6,1
"168","recover",1,1
"169","refuge",1,1
"170","refused",-0.75,1
"171","rubbish",-0.75,1
"172","sack",-0.25,1
"173","safely",0.5,1
"174","savoring",0.8,1
"175","scar",-0.5,1
"176","scowled",-1,1
"177","screwed",-0.75,1
"178","secure",0.5,1
"179","seized",-0.6,1
"180","sharply",-0.25,1
"181","shocked",-0.5,1
"182","shot",-0.4,1
"183","sigh",-0.4,1
"184","sincerely",0.5,1
"185","smile",0.75,1
"186","snacks",0.4,1
"187","soft",0.6,1
"188","sour",-0.5,1
"189","spasm",-1,1
"190","spat",-0.5,1
"191","stab",-1,1
"192","stole",-0.8,1
"193","stopped",-0.4,1
"194","strain",-0.6,1
"195","struggled",-0.5,1
"196","sulky",-1,1
"197","superb",1,1
"198","survive",0.8,1
"199","tearfully",-1,1
"200","tears",-0.8,1
"201","threatening",-1,1
"202","touched",0.25,1
"203","touchy",-0.25,1
"204","transparent",-0.25,1
"205","trembling",-0.5,1
"206","tremulous",-0.6,1
"207","ungrateful",-0.5,1
"208","unusually",-0.6,1
"209","uttered",-0.25,1
"210","versus",-0.25,1
"211","whoop",0.4,1
"212","work",0.25,1
"213","working",0.25,1
"214","worried",-0.75,1
"215","worst",-0.5,1
"216","wrong",-0.75,1
"217","yes",0.8,1
"218","young",0.4,1
