"","word","score","n"
"1","dark",-0.6,58
"2","like",0.5,9
"3","yes",0.8,9
"4","black",-0.25,6
"5","great",0.5,6
"6","well",0.8,6
"7","death",-0.75,5
"8","fell",-0.5,5
"9","information",0.4,5
"10","trust",0.5,5
"11","angry",-0.75,4
"12","favorite",0.75,4
"13","hood",-0.25,4
"14","killed",-0.5,4
"15","seized",-0.6,4
"16","tears",-0.8,4
"17","wizard",0.4,4
"18","alone",-0.6,3
"19","best",0.5,3
"20","darkness",-0.75,3
"21","deserted",-0.6,3
"22","faithful",0.75,3
"23","falling",-0.75,3
"24","hidden",-0.25,3
"25","inclined",0.4,3
"26","joined",0.6,3
"27","present",0.25,3
"28","proud",0.75,3
"29","right",0.8,3
"30","satisfied",1,3
"31","snarled",-1,3
"32","succeed",0.5,3
"33","unbreakable",0.8,3
"34","unpleasant",-0.75,3
"35","useful",0.5,3
"36","vanished",-0.6,3
"37","vow",0.6,3
"38","wait",-0.25,3
"39","admit",0.6,2
"40","alive",0.5,2
"41","allow",0.25,2
"42","ally",0.8,2
"43","assist",0.8,2
"44","astonished",0.5,2
"45","attack",-0.75,2
"46","blame",-0.75,2
"47","bound",-0.25,2
"48","broken",-0.75,2
"49","chosen",0.6,2
"50","cry",-0.75,2
"51","dangerous",-0.5,2
"52","dead",-1,2
"53","despair",-0.75,2
"54","dirty",-0.75,2
"55","disagree",-0.5,2
"56","enough",-0.25,2
"57","failed",-0.5,2
"58","fine",0.25,2
"59","fool",-0.75,2
"60","forbidden",-1,2
"61","forgive",0.5,2
"62","glad",0.75,2
"63","greatest",0.5,2
"64","growing",0.8,2
"65","harm",-0.75,2
"66","jail",-0.8,2
"67","lies",-1,2
"68","lose",-0.25,2
"69","mediocre",-0.75,2
"70","mistaken",-1,2
"71","murder",-0.75,2
"72","outrage",-1,2
"73","pale",-0.6,2
"74","pleased",0.75,2
"75","pretend",-0.75,2
"76","protect",0.75,2
"77","protection",0.8,2
"78","prove",0.6,2
"79","rickety",-1,2
"80","shot",-0.4,2
"81","slowly",-0.25,2
"82","sorry",-0.5,2
"83","stop",-0.4,2
"84","succeeds",1,2
"85","survived",0.4,2
"86","treachery",-0.5,2
"87","twisted",-0.25,2
"88","usual",0.4,2
"89","white",0.4,2
"90","wishes",0.8,2
"91","wound",-0.5,2
"92","wrong",-0.75,2
"93","ability",0.5,1
"94","absent",-0.6,1
"95","accomplished",0.75,1
"96","action",0.25,1
"97","admirable",0.5,1
"98","advantage",0.75,1
"99","afraid",-0.75,1
"100","ahead",0.8,1
"101","allegiance",0.5,1
"102","amused",0.5,1
"103","argue",-0.5,1
"104","assure",0.8,1
"105","astounded",0.5,1
"106","bargain",0.75,1
"107","battled",-0.6,1
"108","beg",-0.75,1
"109","betrayal",-0.75,1
"110","betraying",-0.5,1
"111","blaze",-0.25,1
"112","blind",-0.75,1
"113","bored",-0.5,1
"114","boy",0.25,1
"115","breeze",0.1,1
"116","bright",0.5,1
"117","brilliant",1,1
"118","burn",-0.4,1
"119","burned",-0.6,1
"120","capture",-0.6,1
"121","caressing",0.8,1
"122","chance",0.25,1
"123","charming",1,1
"124","chilly",-0.5,1
"125","choked",-1,1
"126","clean",0.75,1
"127","clearly",0.5,1
"128","cold",-0.5,1
"129","comfortable",0.5,1
"130","comfortably",1,1
"131","complain",-0.75,1
"132","completely",0.4,1
"133","concealed",-0.5,1
"134","consent",0.8,1
"135","contempt",-0.75,1
"136","continue",0.4,1
"137","contrary",-0.6,1
"138","convenient",0.8,1
"139","correct",0.6,1
"140","crack",-0.5,1
"141","credit",0.4,1
"142","crept",-0.6,1
"143","crouching",-0.25,1
"144","crumpled",-0.6,1
"145","curious",0.4,1
"146","cursing",-1,1
"147","deadly",-0.75,1
"148","deed",0.4,1
"149","defense",0.25,1
"150","determined",0.5,1
"151","dilapidated",-0.5,1
"152","disbelief",-0.5,1
"153","dismissively",-0.8,1
"154","displeasure",-0.5,1
"155","disused",-0.6,1
"156","doused",-0.4,1
"157","drowned",-0.8,1
"158","dull",-0.75,1
"159","dusty",-0.6,1
"160","earnest",0.75,1
"161","eloquent",0.5,1
"162","empty",-0.25,1
