"","word","score","n"
"1","sir",0.25,23
"2","well",0.8,20
"3","right",0.8,17
"4","like",0.5,14
"5","good",0.75,13
"6","found",0.6,10
"7","feeling",0.25,9
"8","staring",-0.25,8
"9","dark",-0.6,7
"10","hard",-0.25,7
"11","practice",0.4,6
"12","scar",-0.5,6
"13","charm",0.75,5
"14","bad",-0.75,4
"15","fire",-0.25,4
"16","hit",-0.25,4
"17","hurt",-0.75,4
"18","odd",-0.25,4
"19","professor",0.4,4
"20","stop",-0.4,4
"21","work",0.25,4
"22","yes",0.8,4
"23","carefully",0.25,3
"24","confusing",-0.5,3
"25","cushion",0.6,3
"26","enough",-0.25,3
"27","foe",-0.5,3
"28","friend",0.8,3
"29","frowning",-0.75,3
"30","glared",-0.8,3
"31","hastily",-0.4,3
"32","hopefully",0.6,3
"33","leader",0.25,3
"34","leave",-0.25,3
"35","led",0.4,3
"36","mad",-0.75,3
"37","pain",-0.75,3
"38","perfect",0.75,3
"39","pleased",0.75,3
"40","properly",1,3
"41","reading",0.1,3
"42","reckless",-0.75,3
"43","silencing",-0.5,3
"44","slowly",-0.25,3
"45","thanks",0.6,3
"46","additional",0.25,2
"47","agreement",0.5,2
"48","angry",-0.75,2
"49","anxiously",-1,2
"50","ballet",0.6,2
"51","beaming",0.5,2
"52","better",0.8,2
"53","building",0.1,2
"54","care",1,2
"55","clears",0.5,2
"56","confused",-0.5,2
"57","cracked",-0.5,2
"58","desirous",0.75,2
"59","disarm",-0.6,2
"60","disarming",-0.6,2
"61","efficacious",0.6,2
"62","enthusiastically",1,2
"63","extinguished",-0.25,2
"64","fat",-0.5,2
"65","feeble",-0.75,2
"66","fell",-0.5,2
"67","fight",-0.5,2
"68","finally",0.4,2
"69","flying",0.1,2
"70","forbidden",-1,2
"71","free",0.5,2
"72","grimly",-1,2
"73","happily",0.5,2
"74","happy",0.75,2
"75","hidden",-0.25,2
"76","hopes",0.6,2
"77","hot",-0.25,2
"78","hurried",-0.25,2
"79","impressed",0.5,2
"80","kind",0.5,2
"81","lying",-0.5,2
"82","miserable",-1,2
"83","mud",-0.25,2
"84","nervous",-0.75,2
"85","nervously",-0.5,2
"86","pounding",-0.4,2
"87","pretty",0.75,2
"88","producing",0.6,2
"89","proudly",0.8,2
"90","relief",0.5,2
"91","risk",-0.75,2
"92","safely",0.5,2
"93","scared",-0.5,2
"94","scars",-1,2
"95","screwed",-0.75,2
"96","sharply",-0.25,2
"97","sinking",-0.25,2
"98","smile",0.75,2
"99","sorry",-0.5,2
"100","squeaky",-0.25,2
"101","stopped",-0.4,2
"102","storm",-0.25,2
"103","straight",0.6,2
"104","stupid",-1,2
"105","tapestry",0.4,2
"106","white",0.4,2
"107","wizard",0.4,2
"108","wrong",-0.75,2
"109","absorbed",0.5,1
"110","accused",-0.5,1
"111","action",0.25,1
"112","adoration",1,1
"113","aftermath",-0.5,1
"114","agrees",0.5,1
"115","ahead",0.8,1
"116","amazing",0.5,1
"117","anger",-0.75,1
"118","angrily",-0.5,1
"119","annoyed",-0.5,1
"120","annoying",-0.75,1
"121","anxious",-0.75,1
"122","appreciative",1,1
"123","attacked",-1,1
"124","authority",0.5,1
"125","avoid",-0.5,1
"126","avoided",-0.5,1
"127","awed",0.4,1
"128","awkward",-0.5,1
"129","backwards",-0.4,1
"130","badly",-0.75,1
"131","battles",-0.6,1
"132","beating",-0.5,1
"133","bent",-0.4,1
"134","best",0.5,1
"135","big",0.25,1
"136","bizarre",-0.75,1
"137","black",-0.25,1
"138","blow",-0.4,1
"139","blurred",-0.5,1
"140","bound",-0.25,1
"141","break",-0.25,1
"142","brightly",0.6,1
"143","brilliant",1,1
"144","broke",-0.75,1
"145","burning",-0.4,1
"146","cancelled",-0.8,1
"147","chance",0.25,1
"148","cheerfully",1,1
"149","clap",0.25,1
"150","clean",0.75,1
"151","cleaning",0.6,1
"152","clear",0.5,1
"153","cleared",0.5,1
"154","clubbed",-0.25,1
"155","comfortable",0.5,1
"156","complaining",-1,1
"157","confident",0.8,1
"158","confiscate",-0.8,1
"159","conviction",-0.5,1
"160","convinced",0.6,1
"161","correct",0.6,1
"162","curiously",0.4,1
"163","curses",-0.8,1
"164","danger",-0.75,1
"165","deafening",-1,1
"166","deal",0.25,1
"167","deepening",-0.25,1
"168","defeat",-0.8,1
"169","defensive",-0.5,1
"170","delighted",0.75,1
"171","demand",-0.5,1
"172","depicting",0.1,1
"173","derisive",-1,1
"174","develop",0.1,1
"175","difficulty",-0.5,1
"176","dinner",0.6,1
"177","dirty",-0.75,1
"178","disagrees",-0.6,1
"179","disappeared",-0.6,1
"180","disappointment",-1,1
"181","discussion",0.4,1
"182","disgruntled",-0.5,1
"183","downcast",-0.75,1
"184","dream",0.25,1
"185","dreams",0.25,1
"186","droop",-0.6,1
"187","drooping",-0.6,1
"188","drunk",-0.5,1
"189","dull",-0.75,1
