"","word","score","n"
"1","professor",0.4,30
"2","yes",0.8,11
"3","boy",0.25,9
"4","like",0.5,9
"5","well",0.8,9
"6","good",0.75,7
"7","fell",-0.5,6
"8","found",0.6,6
"9","reason",0.6,6
"10","right",0.8,6
"11","shooting",-0.6,5
"12","sir",0.25,5
"13","black",-0.25,4
"14","celebrating",0.75,4
"15","dear",0.5,4
"16","famous",0.5,4
"17","garden",0.6,4
"18","kill",-0.75,4
"19","mysterious",-0.4,4
"20","better",0.8,3
"21","dead",-1,3
"22","expect",0.4,3
"23","finally",0.4,3
"24","flying",0.1,3
"25","funny",0.8,3
"26","hoping",0.6,3
"27","knowing",0.6,3
"28","new",0.8,3
"29","sorry",-0.5,3
"30","stopped",-0.4,3
"31","stupid",-1,3
"32","upset",-0.75,3
"33","young",0.4,3
"34","angrily",-0.5,2
"35","aunt",0.25,2
"36","baby",0.6,2
"37","bent",-0.4,2
"38","big",0.25,2
"39","blame",-0.75,2
"40","broken",-0.75,2
"41","careless",-0.5,2
"42","child",0.6,2
"43","dark",-0.6,2
"44","disappeared",-0.6,2
"45","enough",-0.25,2
"46","excitedly",0.8,2
"47","fear",-0.75,2
"48","frightened",-0.5,2
"49","great",0.5,2
"50","happy",0.75,2
"51","hurried",-0.25,2
"52","important",0.75,2
"53","kind",0.5,2
"54","kiss",0.5,2
"55","nonsense",-0.75,2
"56","perfectly",0.5,2
"57","pretended",-0.25,2
"58","problems",-0.5,2
"59","reading",0.1,2
"60","rumors",-0.6,2
"61","screaming",-0.5,2
"62","smile",0.75,2
"63","staring",-0.25,2
"64","strange",-0.5,2
"65","thank",0.5,2
"66","trust",0.5,2
"67","uneasy",-1,2
"68","usual",0.4,2
"69","admiring",0.75,1
"70","agree",0.5,1
"71","amuse",0.75,1
"72","angry",-0.75,1
"73","anxious",-0.75,1
"74","approve",0.5,1
"75","astonishing",0.5,1
"76","astounding",0.75,1
"77","backed",0.25,1
"78","best",0.5,1
"79","boring",-1,1
"80","bound",-0.25,1
