"","word","score","n"
"1","professor",0.4,45
"2","well",0.8,10
"3","black",-0.25,9
"4","dark",-0.6,8
"5","great",0.5,8
"6","new",0.8,8
"7","right",0.8,8
"8","chocolate",0.6,7
"9","cold",-0.5,6
"10","like",0.5,6
"11","teacher",0.25,6
"12","defense",0.25,5
"13","eat",0.6,4
"14","hidden",-0.25,4
"15","joined",0.6,4
"16","talk",0.4,4
"17","trouble",-0.5,4
"18","wizard",0.4,4
"19","applause",0.5,3
"20","bad",-0.75,3
"21","barrier",-0.5,3
"22","best",0.5,3
"23","better",0.8,3
"24","chance",0.25,3
"25","empty",-0.25,3
"26","enough",-0.25,3
"27","feeling",0.25,3
"28","fell",-0.5,3
"29","finally",0.4,3
"30","fine",0.25,3
"31","forward",0.6,3
"32","hissed",-0.5,3
"33","journey",0.4,3
"34","loud",-0.25,3
"35","ouch",-1,3
"36","pale",-0.6,3
"37","permission",0.8,3
"38","sorry",-0.5,3
"39","usual",0.4,3
"40","welcome",0.5,3
"41","anxiously",-1,2
"42","careful",0.25,2
"43","cleared",0.5,2
"44","completely",0.4,2
"45","creature",-0.25,2
"46","delicate",0.6,2
"47","delighted",0.75,2
"48","disappeared",-0.6,2
"49","excellent",1,2
"50","faint",-0.8,2
"51","fallen",-0.5,2
"52","familiar",0.8,2
"53","fat",-0.5,2
"54","fire",-0.25,2
"55","food",0.4,2
"56","found",0.6,2
"57","frightened",-0.5,2
"58","golden",0.6,2
"59","grin",0.5,2
"60","happy",0.75,2
"61","hoarse",-0.8,2
"62","hood",-0.25,2
"63","horrible",-0.75,2
"64","ill",-0.5,2
"65","kindly",0.5,2
"66","laughter",0.8,2
"67","led",0.4,2
"68","louder",-0.25,2
"69","magic",0.25,2
"70","magical",0.75,2
"71","magnificent",0.5,2
"72","nervously",-0.5,2
"73","nice",0.5,2
"74","pain",-0.75,2
"75","pleading",-0.4,2
"76","screamed",-0.6,2
"77","screaming",-0.5,2
"78","shabby",-0.5,2
"79","shimmering",0.6,2
"80","shock",-0.75,2
"81","slow",-0.25,2
"82","slower",-0.25,2
"83","slowly",-0.25,2
"84","smoke",-0.25,2
"85","soft",0.6,2
